condition,epoch_index,band,power_type,roi,value
Pre,17,alpha,absolute,left_motor,4.375574034502066e-12
Pre,17,alpha,relative,left_motor,0.23639870658016468
Pre,17,beta,absolute,left_motor,1.7163307294794082e-12
Pre,17,beta,relative,left_motor,0.09272803095397633
Pre,17,low_gamma,absolute,left_motor,4.0796404112092605e-13
Pre,17,low_gamma,relative,left_motor,0.022041032991726998
Pre,17,alpha,absolute,right_motor,7.588151810450184e-12
Pre,17,alpha,relative,right_motor,0.3496618919090528
Pre,17,beta,absolute,right_motor,1.8373713019817606e-12
Pre,17,beta,relative,right_motor,0.08466603484468593
Pre,17,low_gamma,absolute,right_motor,2.7759384215263273e-13
Pre,17,low_gamma,relative,right_motor,0.01279151899619599
Pre,18,alpha,absolute,left_motor,2.3041408218379006e-12
Pre,18,alpha,relative,left_motor,0.14744215061298055
Pre,18,beta,absolute,left_motor,1.6086159108246906e-12
Pre,18,beta,relative,left_motor,0.10293545739668193
Pre,18,low_gamma,absolute,left_motor,4.912603993818756e-13
Pre,18,low_gamma,relative,left_motor,0.031435791210920695
Pre,18,alpha,absolute,right_motor,4.886124694624585e-12
Pre,18,alpha,relative,right_motor,0.2826983406468483
Pre,18,beta,absolute,right_motor,1.500632888344196e-12
Pre,18,beta,relative,right_motor,0.08682267726849037
Pre,18,low_gamma,absolute,right_motor,3.4105717423588075e-13
Pre,18,low_gamma,relative,right_motor,0.01973267226034117
Pre,19,alpha,absolute,left_motor,2.8349701632980938e-11
Pre,19,alpha,relative,left_motor,0.6969444621556576
Pre,19,beta,absolute,left_motor,2.5213844103895707e-12
Pre,19,beta,relative,left_motor,0.06198530497909317
Pre,19,low_gamma,absolute,left_motor,4.4775444278177553e-13
Pre,19,low_gamma,relative,left_motor,0.01100752252501001
Pre,19,alpha,absolute,right_motor,3.1242970033593526e-11
Pre,19,alpha,relative,right_motor,0.7310227349346071
Pre,19,beta,absolute,right_motor,2.1506698997737618e-12
Pre,19,beta,relative,right_motor,0.05032135518434006
Pre,19,low_gamma,absolute,right_motor,3.270218127749951e-13
Pre,19,low_gamma,relative,right_motor,0.007651653466395927
Pre,20,alpha,absolute,left_motor,2.445119831107348e-11
Pre,20,alpha,relative,left_motor,0.6291617344991519
Pre,20,beta,absolute,left_motor,3.523870423586712e-12
Pre,20,beta,relative,left_motor,0.09067385572060088
Pre,20,low_gamma,absolute,left_motor,6.600298979141964e-13
