condition,epoch_index,band,summary_type,value
Pre,71,theta,within_right,0.24152188967505372
Pre,71,theta,interhemispheric,0.24746557577682374
Pre,71,theta,anterior_posterior,0.24371901368449045
Pre,72,theta,within_left,0.2994463145195809
Pre,72,theta,within_right,0.3369334698058117
Pre,72,theta,interhemispheric,0.21344282401832768
Pre,72,theta,anterior_posterior,0.363539729384092
Pre,73,theta,within_left,0.3105344513150773
Pre,73,theta,within_right,0.2223719660130901
Pre,73,theta,interhemispheric,0.3022781770171708
Pre,73,theta,anterior_posterior,0.27640184136010215
Pre,74,theta,within_left,0.26432619925458994
Pre,74,theta,within_right,0.3408197921430485
Pre,74,theta,interhemispheric,0.19923789204034456
Pre,74,theta,anterior_posterior,0.2604364087764659
Pre,75,theta,within_left,0.21389837849076712
Pre,75,theta,within_right,0.3852348385904072
Pre,75,theta,interhemispheric,0.21938541056046756
Pre,75,theta,anterior_posterior,0.2920352518898938
Pre,76,theta,within_left,0.21866219459091488
Pre,76,theta,within_right,0.3520819381959164
Pre,76,theta,interhemispheric,0.3413422907857963
Pre,76,theta,anterior_posterior,0.33060644910693776
Pre,77,theta,within_left,0.24802833909032704
Pre,77,theta,within_right,0.2585055939164974
Pre,77,theta,interhemispheric,0.19758808653300267
Pre,77,theta,anterior_posterior,0.23471974141850868
Pre,78,theta,within_left,0.3637850156331285
Pre,78,theta,within_right,0.31465432022221884
Pre,78,theta,interhemispheric,0.20572117678772858
Pre,78,theta,anterior_posterior,0.3433450699206591
Pre,79,theta,within_left,0.15277414347668933
Pre,79,theta,within_right,0.3533883823788122
Pre,79,theta,interhemispheric,0.25201706268950946
Pre,79,theta,anterior_posterior,0.21672440332051174
Pre,80,theta,within_left,0.2177056990841427
Pre,80,theta,within_right,0.26660912144202287
Pre,80,theta,interhemispheric,0.25724345596695664
Pre,80,theta,anterior_posterior,0.25568610504996925
Pre,81,theta,within_left,0.38361135444271366
Pre,81,theta,within_right,0.24346317144128263
Pre,81,theta,interhemispheric,0.2770549911714848
Pre,81,theta,anterior_posterior,0.2951187055996225
Pre,82,theta,within_left,0.2893214399108066
Pre,82,theta,within_right,0.30466252544294453
Pre,82,theta,interhemispheric,0.27259518512203296
Pre,82,theta,anterior_posterior,0.27735519002259834
Pre,83,theta,within_left,0.289641974534999
Pre,83,theta,within_right,0.33233389795556784
Pre,83,theta,interhemispheric,0.33214626349195114
Pre,83,theta,anterior_posterior,0.29812629435933735
Pre,84,theta,within_left,0.3239694098542252
Pre,84,theta,within_right,0.41707553003516395
Pre,84,theta,interhemispheric,0.3716713267161704
Pre,84,theta,anterior_posterior,0.3751806846391046
Pre,85,theta,within_left,0.2619112087437484
Pre,85,theta,within_right,0.38810077339337906
Pre,85,theta,interhemispheric,0.25481800989632936
Pre,85,theta,anterior_posterior,0.33065073944363943
Pre,86,theta,within_left,0.27292925202885654
Pre,86,theta,within_right,0.22424360163806878
Pre,86,theta,interhemispheric,0.22412900310537845
Pre,86,theta,anterior_posterior,0.22696260431931295
Pre,87,theta,within_left,0.23093858600598155
Pre,87,theta,within_right,0.31290301333098847
Pre,87,theta,interhemispheric,0.1510265378240772
Pre,87,theta,anterior_posterior,0.2492235288674903
Pre,0,alpha,within_left,0.2263863093900857
Pre,0,alpha,within_right,0.28895699839135963
Pre,0,alpha,interhemispheric,0.29141111350733934
Pre,0,alpha,anterior_posterior,0.2991543334984396
Pre,1,alpha,within_left,0.23729611135523426
Pre,1,alpha,within_right,0.17141678697064328
Pre,1,alpha,interhemispheric,0.1892075746299711
Pre,1,alpha,anterior_posterior,0.19463967348975306
Pre,2,alpha,within_left,0.3072165343624105
Pre,2,alpha,within_right,0.3691092914475902
Pre,2,alpha,interhemispheric,0.31834430219024873
Pre,2,alpha,anterior_posterior,0.34734153116638056
Pre,3,alpha,within_left,0.20763418357477745
Pre,3,alpha,within_right,0.32675320947360004
Pre,3,alpha,interhemispheric,0.26591362034867466
Pre,3,alpha,anterior_posterior,0.34144199028615135
Pre,4,alpha,within_left,0.50341081156239
Pre,4,alpha,within_right,0.36812116270472467
Pre,4,alpha,interhemispheric,0.35799186679223255
Pre,4,alpha,anterior_posterior,0.4672401320183533
Pre,5,alpha,within_left,0.36867110061078817
Pre,5,alpha,within_right,0.31819812675901993
Pre,5,alpha,interhemispheric,0.41633587711540426
Pre,5,alpha,anterior_posterior,0.3950884935721284
Pre,6,alpha,within_left,0.2872229060267848
Pre,6,alpha,within_right,0.2835519995569576
Pre,6,alpha,interhemispheric,0.22392193091849588
Pre,6,alpha,anterior_posterior,0.2744965706216165
Pre,7,alpha,within_left,0.44719895549371824
Pre,7,alpha,within_right,0.4293520004607832
Pre,7,alpha,interhemispheric,0.39092001822979655
Pre,7,alpha,anterior_posterior,0.4703575133111173
